Price,,,,,
Ticker,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
Date,Close,High,Low,Open,Volume
05-06-23,11.14000034,11.34000015,10.31999969,11.13000011,0
06-06-23,11.38000011,11.61999989,10.47000027,11.14000034,0
07-06-23,11.43999958,11.53999996,9.640000343,11.38000011,0
08-06-23,11.26000023,11.56999969,10.13000011,11.43999958,0
09-06-23,11.11999989,11.30000019,10.31000042,11.26000023,0
12-06-23,11.25,11.80000019,10.57999992,11.11999989,0
13-06-23,11.10999966,11.25,9.989999771,11.25,0
14-06-23,11.15999985,11.36999989,10.63000011,11.10999966,0
15-06-23,11.07999992,11.36999989,9.68999958,11.15999985,0
16-06-23,10.84000015,11.07999992,10.56000042,11.07999992,0
19-06-23,11.22999954,11.5,10.32999992,10.84000015,0
20-06-23,11.13000011,11.43999958,10.56999969,11.22999954,0
21-06-23,11.28999996,11.43000031,10.77000046,11.13000011,0
22-06-23,11.55000019,11.71000004,10.68999958,11.28999996,0
23-06-23,11.23999977,11.84000015,11.14000034,11.55000019,0
26-06-23,11.39999962,11.93000031,11.23999977,11.23999977,0
27-06-23,10.77999973,11.42000008,10.68999958,11.39999962,0
28-06-23,10.89000034,11.53999996,10.64999962,10.77999973,0
30-06-23,10.80000019,11.22000027,10.06999969,10.89000034,0
03-07-23,11.53999996,12.02999973,10.80000019,10.80000019,0
04-07-23,11.69999981,11.98999977,11.52000046,11.53999996,0
05-07-23,11.88000011,12.21000004,11.56999969,11.69999981,0
06-07-23,11.84000015,12.21000004,11.77999973,11.88000011,0
07-07-23,11.52999973,12.06999969,11.07999992,11.84000015,0
10-07-23,11.46000004,12.01000023,11.35999966,11.52999973,0
11-07-23,11.01000023,11.46000004,10.94999981,11.46000004,0
12-07-23,10.93999958,11.19999981,10.72000027,11.01000023,0
13-07-23,10.93999958,11.17000008,10.69999981,10.93999958,0
14-07-23,10.68000031,10.93999958,10.60999966,10.93999958,0
17-07-23,11.31999969,11.39999962,9.859999657,10.68000031,0
18-07-23,11.71000004,12.02000046,11.06999969,11.31999969,0
19-07-23,11.60000038,11.93999958,11.53999996,11.71000004,0
20-07-23,11.78999996,12.26000023,11.36999989,11.60000038,0
21-07-23,11.48999977,12.02999973,11.06000042,11.78999996,0
24-07-23,11.64999962,12,10.53999996,11.48999977,0
25-07-23,10.23999977,11.64999962,10.10999966,11.64999962,0
26-07-23,10.46000004,10.85999966,10.22000027,10.23999977,0
27-07-23,10.51000023,10.97999954,9.890000343,10.46000004,0
28-07-23,10.14000034,10.81000042,10.03999996,10.51000023,0
31-07-23,10.40999985,11.18999958,10.14000034,10.14000034,0
01-08-23,10.27999973,10.69999981,10.19999981,10.40999985,0
02-08-23,11.27999973,11.81000042,9.949999809,10.27999973,0
03-08-23,11.18999958,11.96000004,10.97999954,11.27999973,0
04-08-23,10.56999969,11.18999958,10.47999954,11.18999958,0
07-08-23,11.10000038,11.42000008,10.39999962,10.56999969,0
08-08-23,11.32999992,11.52999973,11.10000038,11.10000038,0
09-08-23,11.14000034,11.77000046,10.48999977,11.32999992,0
10-08-23,11.39999962,11.90999985,10.63000011,11.14000034,0
11-08-23,11.52000046,11.86999989,11.35999966,11.39999962,0
14-08-23,12,12.76000023,10.47999954,11.52000046,0
16-08-23,12.13000011,12.68000031,12,12,0
17-08-23,12.23999977,12.67000008,12.10999966,12.13000011,0
18-08-23,12.14000034,12.48999977,10.78999996,12.23999977,0
21-08-23,11.96000004,12.59000015,11.17000008,12.14000034,0
22-08-23,11.75,12.09000015,11.59000015,11.96000004,0
23-08-23,11.72999954,11.89000034,10.31000042,11.75,0
